anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
tfsi,298,0.7,0.00241697,0.00057052,0.00026568,3.338e-05
tfsi,298,0.8,0.00198528,0.00047218,0.00026472,3.329e-05
tfsi,298,0.9,0.0019043,0.00036129,0.00025906,3.353e-05
tfsi,298,1.0,0.00170709,0.00026406,0.00025496,3.338e-05
tfsi,298,1.1,0.00126983,0.00026809,0.00025175,3.345e-05
tfsi,298,1.2,0.00121433,0.00027532,0.00024612,3.445e-05
tfsi,298,1.3,0.00124224,0.00025252,0.00024849,3.266e-05
tfsi,298,1.4,0.00119894,0.00024162,0.0002465,3.223e-05
tfsi,298,1.5,0.0011549,0.00019998,0.00024425,3.034e-05
tfsi,298,1.6,0.00098802,0.00017843,0.000247,3.015e-05
tfsi,298,1.7,0.00096152,0.0001753,0.00024533,2.921e-05
tfsi,298,1.8,0.00089199,0.00017638,0.00024529,2.96e-05
tfsi,298,1.9,0.00089597,0.00016402,0.00024281,3.064e-05
tfsi,298,2.0,0.00083309,0.00015778,0.00024346,2.947e-05
tfsi,298,2.5,0.00029543,0.00011121,0.00021945,3.13e-05
tfsi,298,3.0,0.00030156,0.00010762,0.00021797,2.854e-05
tfsi,298,3.5,0.00023157,9.047e-05,0.00021019,2.871e-05
tfsi,298,4.0,0.00022648,8.084e-05,0.00020056,2.83e-05
tfsi,298,4.5,0.00022194,7.308e-05,0.00019337,2.652e-05
tfsi,298,5.0,0.00022705,6.958e-05,0.00019887,2.52e-05
tfsi,298,5.5,0.00020696,6.775e-05,0.00018911,2.757e-05
tfsi,298,6.0,0.00019447,6.67e-05,0.00018569,2.712e-05
tfsi,298,6.5,0.00018423,6.587e-05,0.00017285,2.457e-05
tfsi,298,7.0,0.00017252,5.794e-05,0.00016931,2.484e-05
tfsi,298,7.5,0.00016904,5.729e-05,0.00016986,2.497e-05
tfsi,298,8.0,0.00017469,5.436e-05,0.00014993,2.414e-05
tfsi,298,8.5,0.00015546,4.817e-05,0.00015037,2.611e-05
tfsi,298,9.0,0.00015095,4.367e-05,0.00014689,2.618e-05
tfsi,298,9.5,0.00013638,3.403e-05,0.00013497,2.613e-05
tfsi,298,10.0,0.00011807,3.506e-05,0.00010711,2.698e-05
tfsi,353,0.1,,,0.00126558,8.21e-05
tfsi,353,0.2,0.00640438,0.00347673,0.00131202,7.198e-05
tfsi,353,0.3,0.00783311,0.00202129,0.00131281,7.217e-05
tfsi,353,0.4,0.00972154,0.00190343,0.00131171,7.209e-05
tfsi,353,0.5,0.00966419,0.00147723,0.00131127,7.188e-05
tfsi,353,0.6,0.00802725,0.00117178,0.0013108,7.184e-05
tfsi,353,0.7,0.00582155,0.00093401,0.001309,7.201e-05
tfsi,353,0.8,0.00610111,0.00071903,0.00130075,7.374e-05
tfsi,353,0.9,0.00597714,0.00058363,0.0012944,7.089e-05
tfsi,353,1.0,0.00617255,0.00059226,0.00128054,7.608e-05
tfsi,353,1.1,0.00595508,0.00053119,0.00128106,7.546e-05
tfsi,353,1.2,0.00530362,0.00049465,0.00129433,7.37e-05
tfsi,353,1.3,0.00484097,0.00051265,0.00126408,7.08e-05
tfsi,353,1.4,0.00470714,0.00043261,0.00125846,6.924e-05
tfsi,353,1.5,0.00439825,0.00043062,0.00126547,7.087e-05
tfsi,353,1.6,0.00383267,0.00037785,0.00123737,7.042e-05
tfsi,353,1.7,0.00366496,0.00035048,0.00123017,6.608e-05
tfsi,353,1.8,0.00347537,0.00035058,0.00122133,6.7e-05
tfsi,353,1.9,0.00310971,0.00028945,0.00121209,6.742e-05
tfsi,353,2.0,0.00296395,0.00030496,0.00120944,6.665e-05
tfsi,353,2.5,0.00251848,0.00020444,0.00121197,6.889e-05
tfsi,353,3.0,0.00187593,0.00018606,0.00115796,7.151e-05
tfsi,353,3.5,0.00170813,0.00017257,0.00108486,6.678e-05
tfsi,353,4.0,0.00135709,0.00016086,0.00108026,6.797e-05
tfsi,353,4.5,0.00130967,0.00013294,0.00105016,6.844e-05
tfsi,353,5.0,0.00116032,0.00012742,0.00102196,7.544e-05
tfsi,353,5.5,0.00103866,0.00011474,0.00092416,6.843e-05
tfsi,353,6.0,0.00086475,9.923e-05,0.00088386,6.156e-05
tfsi,353,6.5,0.00079997,0.00010341,0.0008555,7.136e-05
tfsi,353,7.0,0.00067934,8.96e-05,0.00068469,6.716e-05
tfsi,353,7.5,0.00061396,7.209e-05,0.00062607,6.617e-05
tfsi,353,8.0,0.00056471,6.314e-05,0.00059916,5.971e-05
tfsi,353,8.5,0.00049847,5.811e-05,0.00055046,6.454e-05
